r,g,b,color,phone
143,38,66,red,False
158,68,109,red,False
155,59,95,red,False
147,42,72,red,False
158,70,104,red,False
156,61,93,red,False
144,36,62,red,False
148,51,76,red,False
152,81,100,red,False
112,30,47,red,False
120,59,96,red,False
119,57,90,red,False
115,36,55,red,False
120,68,103,red,False
120,64,97,red,False
112,36,57,red,False
117,82,116,red,False
119,83,108,red,False
199,31,42,red,False
197,30,40,red,False
189,25,32,red,False
208,35,51,red,False
206,34,47,red,False
196,29,38,red,False
214,51,68,red,False
209,46,59,red,False
200,38,47,red,False
220,41,41,red,False
223,58,68,red,False
223,54,60,red,False
214,36,38,red,False
218,49,46,red,False
224,50,51,red,False
200,36,37,red,False
221,45,43,red,False
219,49,49,red,False
169,57,95,red,False
179,101,155,red,False
180,96,145,red,False
164,58,95,red,False
174,104,160,red,False
177,95,142,red,False
160,49,82,red,False
167,61,95,red,False
168,65,97,red,False
194,54,81,red,False
214,66,97,red,False
234,77,107,red,False
207,60,90,red,False
240,74,106,red,False
249,83,115,red,False
207,62,92,red,False
244,79,110,red,False
238,85,114,red,False
182,48,28,red,False
199,58,37,red,False
207,62,42,red,False
181,46,25,red,False
202,58,35,red,False
214,64,41,red,False
176,45,24,red,False
190,57,35,red,False
202,64,41,red,False
233,82,117,red,False
245,116,155,red,False
249,123,154,red,False
232,46,85,red,False
241,65,106,red,False
250,135,157,red,False
223,56,92,red,False
239,113,139,red,False
250,133,155,red,False
92,36,52,red,False
129,82,119,red,False
170,80,114,red,False
94,37,54,red,False
139,57,79,red,False
179,77,101,red,False
88,37,50,red,False
131,60,81,red,False
172,83,105,red,False
112,43,65,red,False
112,86,130,red,False
115,92,136,red,False
111,41,63,red,False
112,94,140,red,False
114,96,142,red,False
109,41,63,red,False
109,97,141,red,False
111,101,146,red,False
110,18,25,red,False
107,21,28,red,False
92,20,27,red,False
120,14,22,red,False
129,27,35,red,False
112,27,34,red,False
110,10,17,red,False
118,24,29,red,False
103,22,27,red,False
254,71,93,red,False
254,111,141,red,False
254,106,132,red,False
254,56,79,red,False
254,78,103,red,False
254,85,105,red,False
252,56,76,red,False
254,63,85,red,False
254,70,91,red,False
224,59,62,red,True
252,108,120,red,True
254,108,121,red,True
223,58,60,red,True
253,114,124,red,True
254,105,117,red,True
222,48,47,red,True
247,66,67,red,True
249,73,78,red,True
170,38,43,red,True
203,83,97,red,True
230,119,140,red,True
168,29,28,red,True
197,48,57,red,True
216,108,121,red,True
169,63,71,red,True
193,86,96,red,True
203,101,112,red,True
126,15,16,red,True
132,14,16,red,True
121,15,16,red,True
122,13,14,red,True
138,12,15,red,True
122,13,16,red,True
111,12,12,red,True
119,13,15,red,True
101,11,13,red,True
197,38,36,red,True
220,51,56,red,True
229,71,79,red,True
202,36,33,red,True
227,51,53,red,True
234,57,61,red,True
207,44,41,red,True
225,58,54,red,True
228,64,62,red,True
233,60,60,red,True
238,66,66,red,True
238,66,64,red,True
238,52,70,red,True
247,61,76,red,True
248,73,75,red,True
237,52,86,red,True
246,63,86,red,True
246,69,79,red,True
196,54,91,red,True
198,92,143,red,True
194,90,139,red,True
195,54,93,red,True
201,100,155,red,True
205,93,142,red,True
190,55,94,red,True
194,105,162,red,True
202,97,148,red,True
109,41,65,red,False
127,102,155,red,False
137,100,150,red,False
112,45,70,red,False
127,113,170,red,False
137,102,153,red,False
108,41,63,red,False
119,109,163,red,False
126,88,130,red,False
93,19,24,red,False
99,17,22,red,False
88,13,17,red,False
96,17,21,red,False
110,17,23,red,False
94,12,17,red,False
84,14,17,red,False
96,16,21,red,False
82,10,14,red,False
153,57,87,red,False
159,106,159,red,False
173,102,149,red,False
153,56,86,red,False
160,114,171,red,False
177,103,150,red,False
146,52,80,red,False
154,116,172,red,False
171,103,149,red,False
153,96,110,red,False
196,119,137,red,False
212,117,136,red,False
157,97,114,red,False
196,123,142,red,False
207,115,130,red,False
156,110,126,red,False
187,125,143,red,False
194,108,123,red,False
175,56,70,red,False
197,106,136,red,False
201,104,132,red,False
178,65,85,red,False
193,113,145,red,False
195,108,137,red,False
177,62,82,red,False
183,98,125,red,False
189,91,115,red,False
143,47,72,red,False
146,58,85,red,False
148,62,89,red,False
141,46,72,red,False
149,58,87,red,False
153,67,93,red,False
136,53,75,red,False
143,62,85,red,False
150,77,97,red,False
141,137,85,yellow,False
145,151,109,yellow,False
149,159,107,yellow,False
141,133,81,yellow,False
148,151,114,yellow,False
151,156,107,yellow,False
138,129,81,yellow,False
144,139,94,yellow,False
146,147,106,yellow,False
94,103,42,yellow,False
98,126,96,yellow,False
99,128,89,yellow,False
93,101,49,yellow,False
96,125,103,yellow,False
101,127,90,yellow,False
91,94,41,yellow,False
98,107,59,yellow,False
116,128,93,yellow,False
228,207,75,yellow,False
227,205,74,yellow,False
221,197,64,yellow,False
234,213,85,yellow,False
233,212,80,yellow,False
226,205,70,yellow,False
235,216,99,yellow,False
235,215,93,yellow,False
228,208,83,yellow,False
196,153,17,yellow,False
201,164,51,yellow,False
205,171,38,yellow,False
192,145,11,yellow,False
203,159,22,yellow,False
211,168,24,yellow,False
203,152,20,yellow,False
201,156,19,yellow,False
211,167,37,yellow,False
148,149,99,yellow,False
155,167,124,yellow,False
152,170,132,yellow,False
146,143,93,yellow,False
150,170,150,yellow,False
153,171,139,yellow,False
141,138,88,yellow,False
147,145,95,yellow,False
147,150,98,yellow,False
169,159,105,yellow,False
186,175,119,yellow,False
200,189,131,yellow,False
182,166,112,yellow,False
206,186,126,yellow,False
