region,max_distance_miles,mcfarthest_lat,mcfarthest_lon,nearest_lat,nearest_lon
US,280.4458381895645,48.997746435387214,-111.79047543898378,47.625765799999996,-117.5361534
Alabama,90.17442194602424,31.94622923814182,-88.46699087098784,40.5030518,-111.88624899999999
Arizona,155.9171326213908,34.12291466082678,-109.04681218007607,39.4080144,-87.40910459999999
Arkansas,101.06296061301282,33.0091582720358,-92.22816853930412,41.3590152,-86.3120459
California,98.47548147361219,41.740372378228926,-119.99833025750739,41.694779,-85.96508929999999
Colorado,166.0293779347391,40.919223266894676,-108.19030030555906,38.8351323,-77.4315146
Connecticut,37.247348636908995,42.049638,-73.487314,41.3590152,-86.3120459
Delaware,51.59390261613292,38.451263,-75.048939,32.3057272,-111.00932890000001
District of Columbia,11.379585939758833,38.935614121553684,-77.11824134457999,33.6095535,-86.80513940000002
Florida,114.35405362365621,24.547716,-82.158653,42.74583079999999,-73.6423433
Georgia,93.0088137907483,31.259239637389673,-84.09625327701849,30.4830793,-90.45642120000001
Idaho,187.71543384264783,45.95685595942139,-114.40428945773768,33.6095535,-86.80513940000002
Illinois,64.32791947146772,38.10566446390139,-88.97934064335647,42.3703682,-71.0191136
Indiana,50.471206109205895,38.39224767660928,-86.69445824769343,33.1159514,-95.59166
Iowa,98.87957984239308,43.432388132974395,-93.15377247571601,41.703965999999994,-88.12034
Kansas,143.6569472179892,39.09971993073423,-101.39752628194208,28.5943359,-81.364765
Kentucky,70.22924715742506,36.66497476931271,-88.5842072663542,41.703965999999994,-88.12034
Louisiana,116.78236465710171,29.723960960336814,-93.00798010774871,33.1159514,-95.59166
Maine,209.82281080952072,47.353049,-68.227607,32.3057272,-111.00932890000001
Maryland,67.96648396657842,37.911717,-75.885032,36.141088700000005,-81.17657690000001
Massachusetts,87.14557797970733,41.252466,-69.965725,38.7716619,-77.1361939
Michigan,105.45373089672036,46.551775093894705,-86.45930321000363,46.89871779999999,-102.7906287
Minnesota,200.36953462690835,48.57817271162463,-92.84453056535443,33.1159514,-95.59166
Mississippi,94.75113346371438,31.99178824550637,-88.57060485145112,34.136471500000006,-118.21525449999999
Missouri,95.1109264801054,40.035811250342796,-93.03160603603632,34.099765000000005,-81.17906070000001
Montana,280.4458381895645,48.997746435387214,-111.79047543898378,32.3057272,-111.00932890000001
Nebraska,160.54200925220923,42.99972520374418,-102.60765182555105,34.099765000000005,-81.17906070000001
Nevada,152.75169903394047,41.82386902767433,-118.38865911782841,35.6237294,-117.6703197
New Hampshire,72.42802267145747,43.70992094608812,-72.2938385589828,33.6095535,-86.80513940000002
New Jersey,38.980665959613866,38.93026624530409,-74.9530957314504,35.6237294,-117.6703197
New Mexico,159.35451026364734,33.41620558601003,-108.49109021048135,30.4830793,-90.45642120000001
New York,92.9309994638549,45.01084,-73.343124,41.3590152,-86.3120459
North Carolina,84.56717863287241,35.215955,-75.527676,41.671741299999994,-86.31467740000001
North Dakota,156.41178198556418,48.999877,-104.048736,34.099765000000005,-81.17906070000001
Ohio,57.22141455704405,38.671958785130066,-83.45177123263191,44.2746348,-83.50793840000001
Oklahoma,118.78324324122664,36.62709676814186,-103.00229747564606,38.676857399999996,-121.7362311
Oregon,157.40623586938412,43.93533087795279,-119.68956011462602,28.5943359,-81.364765
Pennsylvania,67.37786037739764,41.99872550090087,-76.21107083066912,38.7716619,-77.1361939
Rhode Island,30.105240942817996,41.463974,-71.170131,30.4830793,-90.45642120000001
South Carolina,45.26708831005087,33.11271533424768,-79.28272013128785,40.5030518,-111.88624899999999
South Dakota,188.7382810895667,43.74277068992266,-101.807221407057,33.1159514,-95.59166
Tennessee,63.552830370784264,36.5025805602977,-88.86319565517582,44.2746348,-83.50793840000001
Texas,169.29095802936658,28.972099,-103.163865,40.82686079999999,-73.102974
Utah,145.54641809159878,37.13322852052412,-110.5175725038119,35.638814399999994,-78.8350656
Vermont,104.00787339884567,45.01509278883758,-73.10866471990094,33.6095535,-86.80513940000002
Virginia,75.78747581451866,37.82773325354933,-75.4911468592664,26.8956333,-82.0089952
Washington,134.19351409687377,49.00025927160923,-119.59799808772975,34.136471500000006,-118.21525449999999
West Virginia,58.73455817687182,38.12109583695296,-80.3026999780973,36.141088700000005,-81.17657690000001
Wisconsin,120.0566897392664,46.98632593514896,-90.9797977117976,38.7716619,-77.1361939
Wyoming,169.34799389933477,44.11986990824145,-111.04878503129181,32.3057272,-111.00932890000001
