date,region,abbreviation,hpi
1975-01-01,South,AL,72.93
1975-04-01,South,AL,71.71
1975-07-01,South,AL,74.09
1975-10-01,South,AL,70.58
1976-01-01,South,AL,76.94
1976-04-01,South,AL,76.43
1976-07-01,South,AL,77.01
1976-10-01,South,AL,79.62
1977-01-01,South,AL,81.21
1977-04-01,South,AL,83.5
1977-07-01,South,AL,88.04
1977-10-01,South,AL,89.25
1978-01-01,South,AL,88.36
1978-04-01,South,AL,88.49
1978-07-01,South,AL,96.25
1978-10-01,South,AL,96.3
1979-01-01,South,AL,99.61
1979-04-01,South,AL,100.31
1979-07-01,South,AL,101.93
1979-10-01,South,AL,108.47
1980-01-01,South,AL,100.0
1980-04-01,South,AL,103.36
1980-07-01,South,AL,109.95
1980-10-01,South,AL,109.03
1981-01-01,South,AL,105.66
1981-04-01,South,AL,109.16
1981-07-01,South,AL,113.0
1981-10-01,South,AL,107.04
1982-01-01,South,AL,109.09
1982-04-01,South,AL,107.99
1982-07-01,South,AL,107.67
1982-10-01,South,AL,115.42
1983-01-01,South,AL,114.77
1983-04-01,South,AL,114.17
1983-07-01,South,AL,117.08
1983-10-01,South,AL,113.84
1984-01-01,South,AL,123.75
1984-04-01,South,AL,120.22
1984-07-01,South,AL,125.0
1984-10-01,South,AL,121.52
1985-01-01,South,AL,121.53
1985-04-01,South,AL,124.67
1985-07-01,South,AL,127.55
1985-10-01,South,AL,128.51
1986-01-01,South,AL,129.45
1986-04-01,South,AL,131.91
1986-07-01,South,AL,133.69
1986-10-01,South,AL,136.02
1987-01-01,South,AL,138.13
1987-04-01,South,AL,139.01
1987-07-01,South,AL,139.71
1987-10-01,South,AL,138.25
1988-01-01,South,AL,142.13
1988-04-01,South,AL,143.18
1988-07-01,South,AL,142.69
1988-10-01,South,AL,141.45
1989-01-01,South,AL,141.64
1989-04-01,South,AL,143.39
1989-07-01,South,AL,145.7
1989-10-01,South,AL,146.75
1990-01-01,South,AL,145.59
1990-04-01,South,AL,146.81
1990-07-01,South,AL,147.45
1990-10-01,South,AL,147.61
1991-01-01,South,AL,148.75
1991-04-01,South,AL,151.12
1991-07-01,South,AL,151.85
1991-10-01,South,AL,154.38
1992-01-01,South,AL,155.63
1992-04-01,South,AL,155.88
1992-07-01,South,AL,158.82
1992-10-01,South,AL,160.07
1993-01-01,South,AL,161.26
1993-04-01,South,AL,162.98
1993-07-01,South,AL,165.84
1993-10-01,South,AL,167.25
1994-01-01,South,AL,168.32
1994-04-01,South,AL,170.46
1994-07-01,South,AL,171.03
1994-10-01,South,AL,171.25
1995-01-01,South,AL,172.87
1995-04-01,South,AL,176.27
1995-07-01,South,AL,179.03
1995-10-01,South,AL,180.35
1996-01-01,South,AL,183.64
1996-04-01,South,AL,183.58
1996-07-01,South,AL,183.99
1996-10-01,South,AL,186.11
1997-01-01,South,AL,188.05
1997-04-01,South,AL,189.48
1997-07-01,South,AL,192.32
1997-10-01,South,AL,194.86
1998-01-01,South,AL,198.08
1998-04-01,South,AL,199.73
1998-07-01,South,AL,201.84
1998-10-01,South,AL,204.3
1999-01-01,South,AL,204.98
1999-04-01,South,AL,205.8
1999-07-01,South,AL,206.19
1999-10-01,South,AL,207.74
2000-01-01,South,AL,208.52
2000-04-01,South,AL,210.27
2000-07-01,South,AL,211.92
2000-10-01,South,AL,214.65
2001-01-01,South,AL,220.91
2001-04-01,South,AL,221.84
2001-07-01,South,AL,223.42
2001-10-01,South,AL,225.97
2002-01-01,South,AL,226.35
2002-04-01,South,AL,227.55
2002-07-01,South,AL,230.91
2002-10-01,South,AL,233.58
2003-01-01,South,AL,235.93
2003-04-01,South,AL,238.05
2003-07-01,South,AL,239.7
2003-10-01,South,AL,241.22
2004-01-01,South,AL,243.5
2004-04-01,South,AL,245.04
2004-07-01,South,AL,249.51
2004-10-01,South,AL,253.3
2005-01-01,South,AL,256.67
2005-04-01,South,AL,262.75
