decimal_digits,needle_length,throws_required
1,0.1,55763.29963687771
1,0.2,25985.965874272537
1,0.3,16060.187953404145
1,0.4,11097.298992969949
1,0.5,8119.56561670943
1,0.6,6134.410032535751
1,0.7,4716.441758125982
1,0.8,3652.9655523186534
1,0.9,2825.8173922462875
1,1.0,2164.0988641883946
2,0.1,5.576329963687772e6
2,0.2,2.598596587427254e6
2,0.3,1.6060187953404146e6
2,0.4,1.109729899296995e6
2,0.5,811956.5616709432
2,0.6,613441.0032535752
2,0.7,471644.17581259826
2,0.8,365296.55523186544
2,0.9,282581.7392246288
2,1.0,216409.8864188395
3,0.1,5.576329963687772e8
3,0.2,2.598596587427254e8
3,0.3,1.6060187953404146e8
3,0.4,1.1097298992969951e8
3,0.5,8.119565616709432e7
3,0.6,6.134410032535753e7
3,0.7,4.7164417581259824e7
3,0.8,3.652965552318654e7
3,0.9,2.825817392246288e7
3,1.0,2.164098864188395e7
4,0.1,5.5763299636877716e10
4,0.2,2.598596587427254e10
4,0.3,1.6060187953404148e10
4,0.4,1.1097298992969952e10
4,0.5,8.119565616709432e9
4,0.6,6.134410032535752e9
4,0.7,4.716441758125982e9
4,0.8,3.652965552318654e9
4,0.9,2.825817392246288e9
4,1.0,2.164098864188395e9
5,0.1,5.5763299636877705e12
5,0.2,2.5985965874272534e12
5,0.3,1.6060187953404143e12
5,0.4,1.1097298992969949e12
5,0.5,8.11956561670943e11
5,0.6,6.134410032535751e11
5,0.7,4.7164417581259814e11
5,0.8,3.6529655523186536e11
5,0.9,2.825817392246287e11
5,1.0,2.1640988641883948e11
6,0.1,5.576329963687772e14
6,0.2,2.598596587427254e14
6,0.3,1.6060187953404147e14
6,0.4,1.1097298992969952e14
6,0.5,8.119565616709431e13
6,0.6,6.134410032535752e13
6,0.7,4.716441758125983e13
6,0.8,3.652965552318654e13
6,0.9,2.825817392246288e13
6,1.0,2.164098864188395e13
